DOW,SP100,NAV
10062.94,1096.56,8.51
9995.91,1087.68,8.39
10092.19,1097.91,8.47
10041.48,1091.06,8.36
9949.36,1081.4,8.23
10081.31,1092.91,8.37
9972.18,1079.6,8.17
9867.96,1066.95,8.04
9882.17,1063.41,7.96
9762.69,1042.63,7.69
9962.58,1066.11,7.9
9712.73,1036.19,7.64
9789.44,1042.88,7.62
9771.91,1045.41,7.73
9802.14,1046.5,7.65
10005.96,1066.63,7.88
10023.42,1069.3,7.87
10226.94,1093.08,8.06
10246.97,1093.01,8
10291.26,1098.51,8.07
10197.47,1087.24,7.9
10270.47,1093.48,7.97
10406.96,1109.3,8.17
10437.42,1110.32,8.17
10426.31,1109.8,8.14
10332.44,1094.9,7.95
10318.16,1091.38,7.92
10450.95,1106.24,8.05
10433.71,1105.65,8.01
10464.4,1110.63,8.02
10309.92,1091.49,7.82
10344.84,1095.63,7.85
10471.58,1108.86,7.96
10452.68,1109.24,8.04
10366.15,1099.92,7.93
10388.9,1105.98,8.11
10390.11,1103.25,8.12
10285.97,1091.94,8.05
10337.05,1095.95,8.05
10405.83,1102.35,8.03
10471.5,1106.41,8.1
10501.05,1114.11,8.22
10452,1107.93,8.17
10441.12,1109.18,8.23
10308.26,1096.08,8.14
10328.89,1102.47,8.2
10414.14,1114.05,8.31
10464.93,1118.02,8.39
10466.44,1120.59,8.46
10520.1,1126.48,8.49
10547.08,1127.78,8.48
10545.41,1126.2,8.49
10548.51,1126.42,8.49
10428.05,1115.1,8.39
10583.96,1132.99,8.59
10572.02,1136.52,8.57
10573.68,1137.14,8.58
10606.86,1141.69,8.67
10618.19,1144.98,8.72
10663.99,1146.98,8.7
10627.26,1136.22,8.58
10680.77,1145.68,8.69
10710.55,1148.46,8.74
10609.65,1136.03,8.63
10725.43,1150.23,8.76
10603.15,1138.04,8.66
10389.88,1116.48,8.52
10172.98,1091.76,8.36
10196.86,1096.78,8.38
10194.29,1092.17,8.34
10236.16,1097.5,8.41
10120.46,1084.53,8.27
10067.33,1073.87,8.18
10185.53,1089.19,8.32
10296.85,1103.32,8.4
10270.55,1097.28,8.34
10002.18,1063.11,8.05
10012.23,1066.19,8.09
9908.39,1056.74,8.02
10058.64,1070.52,8.16
10038.38,1068.13,8.17
10144.19,1078.47,8.29
10099.14,1075.51,8.36
10268.81,1094.87,8.51
10309.24,1099.51,8.56
10392.9,1106.75,8.64
10402.35,1109.17,8.69
10383.38,1108.01,8.71
10282.41,1094.6,8.59
10374.16,1105.24,8.67
10321.03,1102.94,8.68
10325.26,1104.49,8.65
10403.79,1115.71,8.83
10405.98,1118.31,8.9
10396.76,1118.79,8.91
10444.14,1122.97,8.97
10566.2,1138.7,9.12
10552.52,1138.5,9.14
10564.38,1140.45,9.18
10567.33,1145.61,9.25
10611.84,1150.24,9.28
10624.69,1149.99,9.26
10642.15,1150.51,9.23
10685.98,1159.46,9.32
10733.67,1166.21,9.4
10779.17,1165.83,9.37
10741.98,1159.9,9.25
10785.89,1165.81,9.36
10888.83,1174.17,9.46
10836.15,1167.72,9.38
10841.21,1165.73,9.31
10850.36,1166.59,9.32
10895.86,1173.22,9.38
10907.42,1173.27,9.39
10856.63,1169.43,9.33
10927.07,1178.1,9.43
10973.55,1187.44,9.62
10969.99,1189.44,9.68
10897.52,1182.45,9.67
