DOW,SP100,NAV
17528.27,2056.5,11.53
17720.98,2078.36,11.64
17603.87,2063.36,11.53
17425.03,2043.94,11.41
17148.94,2012.66,11.2
17158.66,2016.71,11.19
16906.51,1990.26,11.02
16514.1,1943.09,10.74
16346.45,1922.03,10.56
16398.57,1923.67,10.54
16516.22,1938.68,10.55
16151.41,1890.28,10.25
16379.05,1921.84,10.39
15988.08,1880.33,10.21
16016.02,1881.33,10.08
15766.74,1859.33,10.08
15882.68,1868.99,10.1
16093.51,1906.9,10.31
15885.22,1877.08,10.06
16167.23,1903.63,10.33
15944.46,1882.95,10.24
16069.64,1893.36,10.31
16466.3,1940.24,10.65
16449.18,1939.38,10.58
