Date,Open,High,Low,Close,Volume,Adj Close
2007-02-01,10.87,10.90,10.45,10.61,598900,7.779377
2007-01-03,10.61,11.40,9.75,10.85,833100,7.857007
2006-12-01,12.62,12.68,10.47,10.68,912200,7.639345
2006-11-01,11.80,13.10,10.28,12.62,1463100,8.902062
2006-10-02,12.40,14.56,10.73,13.64,960100,9.500823
2006-09-01,16.02,16.129999,11.88,12.30,772100,8.462502
2006-08-01,16.50,16.700001,15.88,16.17,393000,10.968551
2006-07-03,17.700001,17.85,15.33,16.450001,653600,11.035261
2006-06-01,18.65,19.08,16.68,17.450001,369400,11.580422
2006-05-01,19.549999,19.879999,17.51,18.66,329800,12.226695
2006-04-03,19.200001,20.459999,18.85,19.33,274200,12.516733
2006-03-01,19.74,19.98,18.08,19.200001,318900,12.297662
2006-02-01,20.93,21.299999,17.200001,19.799999,561300,12.542493
2006-01-03,19.34,21.049999,18.049999,20.92,672400,13.109961
2005-12-01,18.34,24.780001,17.690001,19.280001,192800,11.955805
2005-11-01,16.299999,19.610001,12.29,17.889999,88200,10.94818
2005-10-03,17.99,22.209999,12.21,16.60,84300,10.158737
2005-09-01,16.90,21.58,16.49,18.23,111700,11.156251
2005-08-01,14.87,16.709999,14.19,16.549999,92800,10.128138
2005-07-01,13.65,15.12,13.65,14.87,82600,9.100025
2005-06-01,13.65,15.24,13.29,13.83,128100,8.463574
2005-05-02,14.60,15.20,12.82,13.70,117000,8.384018
2005-04-01,15.86,16.23,14.24,14.69,91900,8.98987
2005-03-01,16.610001,17.23,14.02,16.110001,124100,9.858871
2005-02-01,17.620001,17.75,16.870001,17.00,95700,10.403525
2005-01-03,18.360001,18.360001,17.190001,17.540001,63800,10.733991
2004-12-01,18.16,18.67,16.83,18.360001,52100,11.235808
2004-11-01,17.190001,18.639999,16.799999,18.549999,76100,11.352082
2004-10-01,17.08,18.049999,15.97,17.48,39500,10.697272
2004-09-01,15.13,17.15,14.96,17.09,42300,10.458603
2004-08-02,14.66,15.13,13.56,14.98,55100,9.167341
2004-07-01,14.20,14.90,13.95,14.66,34600,8.83413
2004-06-01,14.17,14.24,13.05,14.04,74400,8.328142
2004-05-03,14.31,14.62,13.80,14.03,45000,8.184505
2004-04-01,14.45,14.76,13.38,14.14,86900,8.117562
2004-03-31,14.48,14.55,14.45,14.48,33200,8.181166
