Date,cencppprivnonres,cencppprivres,cencpppub,cencpptot,cenhfs-supplymsa,cenhs-usmsa,cennewhsavgm,cennewhsmedm,Date,NAV
2008-16,409912,376718,304512,1091142,10.3,536,314300,246400,2008-04,9.42
2008-17,409912,376718,304512,1091142,10.3,536,314300,246400,2008-04,9.6
2008-18,409912,376718,304512,1091142,10.3,536,314300,246400,2008-04,9.55
2008-19,409912,376718,304512,1091142,10.3,536,314300,246400,2008-04,9.36
2008-20,409912,376718,304512,1091142,10.3,536,314300,246400,2008-04,9.37
2008-21,409912,376718,304512,1091142,10.3,536,314300,246400,2008-04,9.45
2008-22,409912,376718,304512,1091142,10.3,536,314300,246400,2008-04,9.51
2008-23,409912,376718,304512,1091142,10.3,536,314300,246400,2008-04,9.57
2008-24,409912,376718,304512,1091142,10.3,536,314300,246400,2008-04,9.52
2008-25,409912,376718,304512,1091142,10.3,536,314300,246400,2008-04,9.49
2008-05,413850,371838,305320,1091008,10.7,504,298200,229300,2008-05,9.65
2008-06,413850,371838,305320,1091008,10.7,504,298200,229300,2008-05,9.63
2008-07,413850,371838,305320,1091008,10.7,504,298200,229300,2008-05,9.61
2008-08,413850,371838,305320,1091008,10.7,504,298200,229300,2008-05,9.7
2008-09,413850,371838,305320,1091008,10.7,504,298200,229300,2008-05,9.58
2008-10,413850,371838,305320,1091008,10.7,504,298200,229300,2008-05,9.6
2008-11,413850,371838,305320,1091008,10.7,504,298200,229300,2008-05,9.59
2008-12,413850,371838,305320,1091008,10.7,504,298200,229300,2008-05,9.72
2008-13,413850,371838,305320,1091008,10.7,504,298200,229300,2008-05,9.77
2008-14,413850,371838,305320,1091008,10.7,504,298200,229300,2008-05,9.78
2008-15,413850,371838,305320,1091008,10.7,504,298200,229300,2008-05,9.87
2008-16,413850,371838,305320,1091008,10.7,504,298200,229300,2008-05,9.85
2008-17,413850,371838,305320,1091008,10.7,504,298200,229300,2008-05,9.85
2008-18,413850,371838,305320,1091008,10.7,504,298200,229300,2008-05,9.84
2008-19,413850,371838,305320,1091008,10.7,504,298200,229300,2008-05,9.72
2008-20,413850,371838,305320,1091008,10.7,504,298200,229300,2008-05,9.79
2008-21,413850,371838,305320,1091008,10.7,504,298200,229300,2008-05,9.65
2008-22,413850,371838,305320,1091008,10.7,504,298200,229300,2008-05,9.77
2008-23,413850,371838,305320,1091008,10.7,504,298200,229300,2008-05,9.81
2008-24,413850,371838,305320,1091008,10.7,504,298200,229300,2008-05,9.86
2008-25,413850,371838,305320,1091008,10.7,504,298200,229300,2008-05,9.91
2008-06,407304,359774,307558,1074637,10.7,487,299400,234300,2008-06,9.84
2008-07,407304,359774,307558,1074637,10.7,487,299400,234300,2008-06,9.83
2008-08,407304,359774,307558,1074637,10.7,487,299400,234300,2008-06,9.86
2008-09,407304,359774,307558,1074637,10.7,487,299400,234300,2008-06,10.08
2008-10,407304,359774,307558,1074637,10.7,487,299400,234300,2008-06,9.79
2008-11,407304,359774,307558,1074637,10.7,487,299400,234300,2008-06,9.76
2008-12,407304,359774,307558,1074637,10.7,487,299400,234300,2008-06,9.72
2008-13,407304,359774,307558,1074637,10.7,487,299400,234300,2008-06,9.57
2008-14,407304,359774,307558,1074637,10.7,487,299400,234300,2008-06,9.57
2008-15,407304,359774,307558,1074637,10.7,487,299400,234300,2008-06,9.68
2008-16,407304,359774,307558,1074637,10.7,487,299400,234300,2008-06,9.74
2008-17,407304,359774,307558,1074637,10.7,487,299400,234300,2008-06,9.69
2008-18,407304,359774,307558,1074637,10.7,487,299400,234300,2008-06,9.62
2008-19,407304,359774,307558,1074637,10.7,487,299400,234300,2008-06,9.67
2008-20,407304,359774,307558,1074637,10.7,487,299400,234300,2008-06,9.53
2008-21,407304,359774,307558,1074637,10.7,487,299400,234300,2008-06,9.49
2008-22,407304,359774,307558,1074637,10.7,487,299400,234300,2008-06,9.44
2008-23,407304,359774,307558,1074637,10.7,487,299400,234300,2008-06,9.52
2008-24,407304,359774,307558,1074637,10.7,487,299400,234300,2008-06,9.26
2008-25,407304,359774,307558,1074637,10.7,487,299400,234300,2008-06,9.19
2008-26,407304,359774,307558,1074637,10.7,487,299400,234300,2008-06,9.07
2008-07,411182,345129,310609,1066919,10.5,477,301900,237300,2008-07,9.06
2008-08,411182,345129,310609,1066919,10.5,477,301900,237300,2008-07,8.83
2008-09,411182,345129,310609,1066919,10.5,477,301900,237300,2008-07,8.76
2008-10,411182,345129,310609,1066919,10.5,477,301900,237300,2008-07,8.66
2008-11,411182,345129,310609,1066919,10.5,477,301900,237300,2008-07,8.95
2008-12,411182,345129,310609,1066919,10.5,477,301900,237300,2008-07,8.72
2008-13,411182,345129,310609,1066919,10.5,477,301900,237300,2008-07,8.75
2008-14,411182,345129,310609,1066919,10.5,477,301900,237300,2008-07,8.75
2008-15,411182,345129,310609,1066919,10.5,477,301900,237300,2008-07,8.6
2008-16,411182,345129,310609,1066919,10.5,477,301900,237300,2008-07,8.55
2008-17,411182,345129,310609,1066919,10.5,477,301900,237300,2008-07,8.9
2008-18,411182,345129,310609,1066919,10.5,477,301900,237300,2008-07,9.09
2008-19,411182,345129,310609,1066919,10.5,477,301900,237300,2008-07,9.09
2008-20,411182,345129,310609,1066919,10.5,477,301900,237300,2008-07,9.12
2008-21,411182,345129,310609,1066919,10.5,477,301900,237300,2008-07,9.38
2008-22,411182,345129,310609,1066919,10.5,477,301900,237300,2008-07,9.46
2008-23,411182,345129,310609,1066919,10.5,477,301900,237300,2008-07,9.2
2008-24,411182,345129,310609,1066919,10.5,477,301900,237300,2008-07,9.28
2008-25,411182,345129,310609,1066919,10.5,477,301900,237300,2008-07,9.09
2008-26,411182,345129,310609,1066919,10.5,477,301900,237300,2008-07,9.36
2008-27,411182,345129,310609,1066919,10.5,477,301900,237300,2008-07,9.39
2008-28,411182,345129,310609,1066919,10.5,477,301900,237300,2008-07,9.34
2008-08,402515,341260,313684,1057459,11.3,435,265500,221000,2008-08,9.35
2008-09,402515,341260,313684,1057459,11.3,435,265500,221000,2008-08,9.22
2008-10,402515,341260,313684,1057459,11.3,435,265500,221000,2008-08,9.49
2008-11,402515,341260,313684,1057459,11.3,435,265500,221000,2008-08,9.53
2008-12,402515,341260,313684,1057459,11.3,435,265500,221000,2008-08,9.34
2008-13,402515,341260,313684,1057459,11.3,435,265500,221000,2008-08,9.64
2008-14,402515,341260,313684,1057459,11.3,435,265500,221000,2008-08,9.86
2008-15,402515,341260,313684,1057459,11.3,435,265500,221000,2008-08,9.78
2008-16,402515,341260,313684,1057459,11.3,435,265500,221000,2008-08,9.78
2008-17,402515,341260,313684,1057459,11.3,435,265500,221000,2008-08,9.9
2008-18,402515,341260,313684,1057459,11.3,435,265500,221000,2008-08,9.93
2008-19,402515,341260,313684,1057459,11.3,435,265500,221000,2008-08,9.77
2008-20,402515,341260,313684,1057459,11.3,435,265500,221000,2008-08,9.62
2008-21,402515,341260,313684,1057459,11.3,435,265500,221000,2008-08,9.62
2008-22,402515,341260,313684,1057459,11.3,435,265500,221000,2008-08,9.56
2008-23,402515,341260,313684,1057459,11.3,435,265500,221000,2008-08,9.72
2008-24,402515,341260,313684,1057459,11.3,435,265500,221000,2008-08,9.5
2008-25,402515,341260,313684,1057459,11.3,435,265500,221000,2008-08,9.55
2008-26,402515,341260,313684,1057459,11.3,435,265500,221000,2008-08,9.68
2008-27,402515,341260,313684,1057459,11.3,435,265500,221000,2008-08,9.85
2008-28,402515,341260,313684,1057459,11.3,435,265500,221000,2008-08,9.75
2008-09,410404,337704,308559,1056666,10.9,433,287100,225200,2008-09,9.78
2008-10,410404,337704,308559,1056666,10.9,433,287100,225200,2008-09,9.85
2008-11,410404,337704,308559,1056666,10.9,433,287100,225200,2008-09,9.59
2008-12,410404,337704,308559,1056666,10.9,433,287100,225200,2008-09,9.62
2008-13,410404,337704,308559,1056666,10.9,433,287100,225200,2008-09,9.85
2008-14,410404,337704,308559,1056666,10.9,433,287100,225200,2008-09,9.55
2008-15,410404,337704,308559,1056666,10.9,433,287100,225200,2008-09,9.69
2008-16,410404,337704,308559,1056666,10.9,433,287100,225200,2008-09,9.71
2008-17,410404,337704,308559,1056666,10.9,433,287100,225200,2008-09,9.71
2008-18,410404,337704,308559,1056666,10.9,433,287100,225200,2008-09,9.34
2008-19,410404,337704,308559,1056666,10.9,433,287100,225200,2008-09,9.57
2008-20,410404,337704,308559,1056666,10.9,433,287100,225200,2008-09,9.12
2008-21,410404,337704,308559,1056666,10.9,433,287100,225200,2008-09,9.72
2008-22,410404,337704,308559,1056666,10.9,433,287100,225200,2008-09,10.14
2008-23,410404,337704,308559,1056666,10.9,433,287100,225200,2008-09,9.68
2008-24,410404,337704,308559,1056666,10.9,433,287100,225200,2008-09,9.57
2008-25,410404,337704,308559,1056666,10.9,433,287100,225200,2008-09,9.41
2008-26,410404,337704,308559,1056666,10.9,433,287100,225200,2008-09,9.51
2008-27,410404,337704,308559,1056666,10.9,433,287100,225200,2008-09,9.48
2008-28,410404,337704,308559,1056666,10.9,433,287100,225200,2008-09,8.85
2008-29,410404,337704,308559,1056666,10.9,433,287100,225200,2008-09,9.15
2008-10,412197,324161,314332,1050690,11.6,393,274000,213200,2008-10,9.09
2008-11,412197,324161,314332,1050690,11.6,393,274000,213200,2008-10,8.63
2008-12,412197,324161,314332,1050690,11.6,393,274000,213200,2008-10,8.44
2008-13,412197,324161,314332,1050690,11.6,393,274000,213200,2008-10,8.11
2008-14,412197,324161,314332,1050690,11.6,393,274000,213200,2008-10,7.64
2008-15,412197,324161,314332,1050690,11.6,393,274000,213200,2008-10,7.46
2008-16,412197,324161,314332,1050690,11.6,393,274000,213200,2008-10,6.77
2008-17,412197,324161,314332,1050690,11.6,393,274000,213200,2008-10,6.93
2008-18,412197,324161,314332,1050690,11.6,393,274000,213200,2008-10,7.59
2008-19,412197,324161,314332,1050690,11.6,393,274000,213200,2008-10,7.43
2008-20,412197,324161,314332,1050690,11.6,393,274000,213200,2008-10,6.77
2008-21,412197,324161,314332,1050690,11.6,393,274000,213200,2008-10,7.13
2008-22,412197,324161,314332,1050690,11.6,393,274000,213200,2008-10,7.01
2008-23,412197,324161,314332,1050690,11.6,393,274000,213200,2008-10,7.25
2008-24,412197,324161,314332,1050690,11.6,393,274000,213200,2008-10,7.05
2008-25,412197,324161,314332,1050690,11.6,393,274000,213200,2008-10,6.67
2008-26,412197,324161,314332,1050690,11.6,393,274000,213200,2008-10,6.53
2008-27,412197,324161,314332,1050690,11.6,393,274000,213200,2008-10,6.31
2008-28,412197,324161,314332,1050690,11.6,393,274000,213200,2008-10,6.06
2008-29,412197,324161,314332,1050690,11.6,393,274000,213200,2008-10,6.47
2008-30,412197,324161,314332,1050690,11.6,393,274000,213200,2008-10,6.56
2008-31,412197,324161,314332,1050690,11.6,393,274000,213200,2008-10,6.86
2008-32,412197,324161,314332,1050690,11.6,393,274000,213200,2008-10,7.15
2008-11,403443,308871,316897,1029211,11.4,389,290100,221600,2008-11,7.15
2008-12,403443,308871,316897,1029211,11.4,389,290100,221600,2008-11,7.25
2008-13,403443,308871,316897,1029211,11.4,389,290100,221600,2008-11,6.88
2008-14,403443,308871,316897,1029211,11.4,389,290100,221600,2008-11,6.63
2008-15,403443,308871,316897,1029211,11.4,389,290100,221600,2008-11,6.74
2008-16,403443,308871,316897,1029211,11.4,389,290100,221600,2008-11,6.57
2008-17,403443,308871,316897,1029211,11.4,389,290100,221600,2008-11,6.43
2008-18,403443,308871,316897,1029211,11.4,389,290100,221600,2008-11,6.05
2008-19,403443,308871,316897,1029211,11.4,389,290100,221600,2008-11,6.54
2008-20,403443,308871,316897,1029211,11.4,389,290100,221600,2008-11,6.13
2008-21,403443,308871,316897,1029211,11.4,389,290100,221600,2008-11,6.02
2008-22,403443,308871,316897,1029211,11.4,389,290100,221600,2008-11,5.99
2008-23,403443,308871,316897,1029211,11.4,389,290100,221600,2008-11,5.53
2008-24,403443,308871,316897,1029211,11.4,389,290100,221600,2008-11,5.13
2008-25,403443,308871,316897,1029211,11.4,389,290100,221600,2008-11,5.37
2008-26,403443,308871,316897,1029211,11.4,389,290100,221600,2008-11,5.76
2008-27,403443,308871,316897,1029211,11.4,389,290100,221600,2008-11,5.87
2008-28,403443,308871,316897,1029211,11.4,389,290100,221600,2008-11,6.22
2008-29,403443,308871,316897,1029211,11.4,389,290100,221600,2008-11,6.3
2008-12,392797,288761,311957,993515,11.2,377,263100,229600,2008-12,5.58
2008-12,392797,288761,311957,993515,11.2,377,263100,229600,2008-12,5.9
2008-12,392797,288761,311957,993515,11.2,377,263100,229600,2008-12,6.09
2008-12,392797,288761,311957,993515,11.2,377,263100,229600,2008-12,5.93
2008-12,392797,288761,311957,993515,11.2,377,263100,229600,2008-12,6.19
2008-12,392797,288761,311957,993515,11.2,377,263100,229600,2008-12,6.42
2008-12,392797,288761,311957,993515,11.2,377,263100,229600,2008-12,6.22
2008-12,392797,288761,311957,993515,11.2,377,263100,229600,2008-12,6.36
2008-12,392797,288761,311957,993515,11.2,377,263100,229600,2008-12,6.05
2008-12,392797,288761,311957,993515,11.2,377,263100,229600,2008-12,6.25
2008-12,392797,288761,311957,993515,11.2,377,263100,229600,2008-12,6.05
2008-12,392797,288761,311957,993515,11.2,377,263100,229600,2008-12,6.45
2008-12,392797,288761,311957,993515,11.2,377,263100,229600,2008-12,6.48
2008-12,392797,288761,311957,993515,11.2,377,263100,229600,2008-12,6.4
2008-12,392797,288761,311957,993515,11.2,377,263100,229600,2008-12,6.35
2008-12,392797,288761,311957,993515,11.2,377,263100,229600,2008-12,6.19
2008-12,392797,288761,311957,993515,11.2,377,263100,229600,2008-12,6.12
2008-12,392797,288761,311957,993515,11.2,377,263100,229600,2008-12,6.16
2008-12,392797,288761,311957,993515,11.2,377,263100,229600,2008-12,6.24
2008-12,392797,288761,311957,993515,11.2,377,263100,229600,2008-12,6.13
2008-12,392797,288761,311957,993515,11.2,377,263100,229600,2008-12,6.37
2008-12,392797,288761,311957,993515,11.2,377,263100,229600,2008-12,6.58
2009-01,378587,274565,309552,962704,12.2,336,245200,208600,2009-01,6.69
2009-01,378587,274565,309552,962704,12.2,336,245200,208600,2009-01,6.67
2009-01,378587,274565,309552,962704,12.2,336,245200,208600,2009-01,6.81
2009-01,378587,274565,309552,962704,12.2,336,245200,208600,2009-01,6.57
2009-01,378587,274565,309552,962704,12.2,336,245200,208600,2009-01,6.65
2009-01,378587,274565,309552,962704,12.2,336,245200,208600,2009-01,6.37
2009-01,378587,274565,309552,962704,12.2,336,245200,208600,2009-01,6.19
2009-01,378587,274565,309552,962704,12.2,336,245200,208600,2009-01,6.26
2009-01,378587,274565,309552,962704,12.2,336,245200,208600,2009-01,5.98
2009-01,378587,274565,309552,962704,12.2,336,245200,208600,2009-01,6.06
2009-01,378587,274565,309552,962704,12.2,336,245200,208600,2009-01,6.09
2009-01,378587,274565,309552,962704,12.2,336,245200,208600,2009-01,5.62
2009-01,378587,274565,309552,962704,12.2,336,245200,208600,2009-01,5.92
2009-01,378587,274565,309552,962704,12.2,336,245200,208600,2009-01,5.72
2009-01,378587,274565,309552,962704,12.2,336,245200,208600,2009-01,5.75
2009-01,378587,274565,309552,962704,12.2,336,245200,208600,2009-01,5.8
2009-01,378587,274565,309552,962704,12.2,336,245200,208600,2009-01,5.88
2009-01,378587,274565,309552,962704,12.2,336,245200,208600,2009-01,6.13
2009-01,378587,274565,309552,962704,12.2,336,245200,208600,2009-01,5.83
2009-01,378587,274565,309552,962704,12.2,336,245200,208600,2009-01,5.66
2009-02,379778,258762,321367,959907,10.5,372,258600,209700,2009-02,5.7
2009-02,379778,258762,321367,959907,10.5,372,258600,209700,2009-02,5.73
2009-02,379778,258762,321367,959907,10.5,372,258600,209700,2009-02,5.68
2009-02,379778,258762,321367,959907,10.5,372,258600,209700,2009-02,5.77
2009-02,379778,258762,321367,959907,10.5,372,258600,209700,2009-02,6.02
2009-02,379778,258762,321367,959907,10.5,372,258600,209700,2009-02,5.99
2009-02,379778,258762,321367,959907,10.5,372,258600,209700,2009-02,5.67
2009-02,379778,258762,321367,959907,10.5,372,258600,209700,2009-02,5.71
2009-02,379778,258762,321367,959907,10.5,372,258600,209700,2009-02,5.73
2009-02,379778,258762,321367,959907,10.5,372,258600,209700,2009-02,5.67
2009-02,379778,258762,321367,959907,10.5,372,258600,209700,2009-02,5.39
2009-02,379778,258762,321367,959907,10.5,372,258600,209700,2009-02,5.32
2009-02,379778,258762,321367,959907,10.5,372,258600,209700,2009-02,5.21
2009-02,379778,258762,321367,959907,10.5,372,258600,209700,2009-02,5.12
2009-02,379778,258762,321367,959907,10.5,372,258600,209700,2009-02,4.9
2009-02,379778,258762,321367,959907,10.5,372,258600,209700,2009-02,5.15
2009-02,379778,258762,321367,959907,10.5,372,258600,209700,2009-02,5.02
2009-02,379778,258762,321367,959907,10.5,372,258600,209700,2009-02,4.95
2009-02,379778,258762,321367,959907,10.5,372,258600,209700,2009-02,4.89
2009-03,382678,246825,325481,954984,11,339,259800,205100,2009-03,4.61
2009-03,382678,246825,325481,954984,11,339,259800,205100,2009-03,4.49
2009-03,382678,246825,325481,954984,11,339,259800,205100,2009-03,4.62
2009-03,382678,246825,325481,954984,11,339,259800,205100,2009-03,4.32
2009-03,382678,246825,325481,954984,11,339,259800,205100,2009-03,4.32
2009-03,382678,246825,325481,954984,11,339,259800,205100,2009-03,4.24
2009-03,382678,246825,325481,954984,11,339,259800,205100,2009-03,4.59
2009-03,382678,246825,325481,954984,11,339,259800,205100,2009-03,4.59
2009-03,382678,246825,325481,954984,11,339,259800,205100,2009-03,4.89
2009-03,382678,246825,325481,954984,11,339,259800,205100,2009-03,4.94
2009-03,382678,246825,325481,954984,11,339,259800,205100,2009-03,4.9
2009-03,382678,246825,325481,954984,11,339,259800,205100,2009-03,5.12
2009-03,382678,246825,325481,954984,11,339,259800,205100,2009-03,5.34
2009-03,382678,246825,325481,954984,11,339,259800,205100,2009-03,5.29
2009-03,382678,246825,325481,954984,11,339,259800,205100,2009-03,5.13
2009-03,382678,246825,325481,954984,11,339,259800,205100,2009-03,5.58
2009-03,382678,246825,325481,954984,11,339,259800,205100,2009-03,5.36
2009-03,382678,246825,325481,954984,11,339,259800,205100,2009-03,5.5
2009-03,382678,246825,325481,954984,11,339,259800,205100,2009-03,5.74
2009-03,382678,246825,325481,954984,11,339,259800,205100,2009-03,5.55
2009-03,382678,246825,325481,954984,11,339,259800,205100,2009-03,5.31
2009-03,382678,246825,325481,954984,11,339,259800,205100,2009-03,5.41
2009-04,367807,242889,318896,929593,10.7,337,269800,219200,2009-04,5.54
2009-04,367807,242889,318896,929593,10.7,337,269800,219200,2009-04,5.85
2009-04,367807,242889,318896,929593,10.7,337,269800,219200,2009-04,5.94
2009-04,367807,242889,318896,929593,10.7,337,269800,219200,2009-04,5.83
2009-04,367807,242889,318896,929593,10.7,337,269800,219200,2009-04,5.62
2009-04,367807,242889,318896,929593,10.7,337,269800,219200,2009-04,5.74
2009-04,367807,242889,318896,929593,10.7,337,269800,219200,2009-04,5.96
2009-04,367807,242889,318896,929593,10.7,337,269800,219200,2009-04,5.99
2009-04,367807,242889,318896,929593,10.7,337,269800,219200,2009-04,5.78
2009-04,367807,242889,318896,929593,10.7,337,269800,219200,2009-04,5.91
2009-04,367807,242889,318896,929593,10.7,337,269800,219200,2009-04,6.09
2009-04,367807,242889,318896,929593,10.7,337,269800,219200,2009-04,6.19
2009-04,367807,242889,318896,929593,10.7,337,269800,219200,2009-04,5.76
2009-04,367807,242889,318896,929593,10.7,337,269800,219200,2009-04,6.03
2009-04,367807,242889,318896,929593,10.7,337,269800,219200,2009-04,6.04
2009-04,367807,242889,318896,929593,10.7,337,269800,219200,2009-04,5.98
2009-04,367807,242889,318896,929593,10.7,337,269800,219200,2009-04,6.15
2009-04,367807,242889,318896,929593,10.7,337,269800,219200,2009-04,6
2009-04,367807,242889,318896,929593,10.7,337,269800,219200,2009-04,6.07
2009-04,367807,242889,318896,929593,10.7,337,269800,219200,2009-04,6.31
2009-04,367807,242889,318896,929593,10.7,337,269800,219200,2009-04,6.27
2009-05,363286,230880,317075,911241,9.3,376,274600,222300,2009-05,6.28
2009-05,363286,230880,317075,911241,9.3,376,274600,222300,2009-05,6.57
2009-05,363286,230880,317075,911241,9.3,376,274600,222300,2009-05,6.54
2009-05,363286,230880,317075,911241,9.3,376,274600,222300,2009-05,6.63
2009-05,363286,230880,317075,911241,9.3,376,274600,222300,2009-05,6.44
2009-05,363286,230880,317075,911241,9.3,376,274600,222300,2009-05,6.74
2009-05,363286,230880,317075,911241,9.3,376,274600,222300,2009-05,6.56
2009-05,363286,230880,317075,911241,9.3,376,274600,222300,2009-05,6.59
2009-05,363286,230880,317075,911241,9.3,376,274600,222300,2009-05,6.26
2009-05,363286,230880,317075,911241,9.3,376,274600,222300,2009-05,6.39
2009-05,363286,230880,317075,911241,9.3,376,274600,222300,2009-05,6.32
2009-05,363286,230880,317075,911241,9.3,376,274600,222300,2009-05,6.61
2009-05,363286,230880,317075,911241,9.3,376,274600,222300,2009-05,6.58
2009-05,363286,230880,317075,911241,9.3,376,274600,222300,2009-05,6.51
2009-05,363286,230880,317075,911241,9.3,376,274600,222300,2009-05,6.39
2009-05,363286,230880,317075,911241,9.3,376,274600,222300,2009-05,6.35
2009-05,363286,230880,317075,911241,9.3,376,274600,222300,2009-05,6.65
